"","YEAR","OCC","OCCSOC","STATEFIP","AGE","RACE","SEX","MARST","CITIZEN","INCTOT","REGION","IND","EducAttainment","Overeducation"
"195",2007,8740,"519061",37,53,2,2,4,0,9900,31,1180,1,0
"196",2007,5800,"439011",42,52,1,1,1,0,40000,12,7870,2,NA
"197",2007,2310,"252020",17,46,1,1,1,0,75000,21,7860,7,1
"198",2007,4760,"412031",12,68,1,1,1,0,46000,31,5180,5,1
"199",2007,130,"113040",37,46,2,2,1,0,82000,31,7470,5,NA
"200",2007,3130,"291111",48,34,1,1,1,0,43000,33,8180,4,NA
"201",2007,2720,"272020",12,52,1,1,1,0,1e+05,31,7870,5,NA
"202",2007,5000,"431011",48,56,1,2,4,0,44100,33,7870,2,0
"203",2007,4760,"412031",39,23,1,2,6,0,18000,21,4770,5,1
"204",2007,430,"1191XX",27,41,1,1,1,0,42000,22,6680,5,NA
"205",2007,220,"119021",48,34,1,1,1,0,12000,33,770,2,0
"206",2007,810,"132021",6,53,1,1,1,0,24000,42,7070,2,NA
"207",2007,430,"1191XX",51,46,1,1,1,0,117000,31,3680,4,NA
"208",2007,2310,"252020",36,43,1,2,1,0,90050,12,7860,6,1
"209",2007,5160,"433071",13,60,1,2,5,0,20500,31,6870,2,0
"210",2007,2630,"271020",6,42,1,2,1,0,55000,42,7290,5,NA
"211",2007,4600,"399011",18,37,1,2,1,0,12000,21,8470,3,1
"212",2007,5540,"435051",54,58,1,2,4,0,46100,31,6370,2,0
"213",2007,8740,"519061",17,51,1,2,1,0,30000,21,7780,2,0
"214",2007,120,"113031",12,27,1,2,1,0,20000,31,6870,5,0
"215",2007,430,"1191XX",18,58,1,2,4,0,82050,21,9590,3,NA
"216",2007,5400,"434171",13,59,1,2,4,0,58000,31,7580,5,1
"217",2007,720,"131121",37,19,1,1,6,0,5500,31,7870,2,0
"218",2007,2310,"252020",6,52,1,2,1,0,7000,42,7860,5,0
"219",2007,9620,"537062",37,38,1,2,6,0,20000,31,4580,3,1
"220",2007,4720,"412010",5,60,1,2,1,0,18200,33,8680,3,1
"221",2007,7220,"493040",27,51,1,1,1,0,60000,22,390,3,1
"222",2007,4960,"419099",51,47,1,1,1,0,75650,31,7870,6,NA
"223",2007,4720,"412010",26,55,1,2,1,0,8500,21,8590,5,1
"224",2007,3130,"291111",15,65,1,2,1,0,67640,42,8190,6,NA
"225",2007,2340,"253000",12,57,1,2,1,3,5300,31,8570,5,NA
"226",2007,7010,"492011",8,49,8,1,1,0,55000,41,7380,2,NA
"227",2007,4760,"412031",6,54,1,2,4,0,19100,42,5080,3,1
"228",2007,6460,"472161",6,23,1,1,6,3,6000,42,770,1,0
"229",2007,9810,"552010",28,43,1,1,1,0,60000,32,9680,3,NA
"230",2007,4760,"412031",4,72,1,2,4,0,35800,41,5390,2,1
"231",2007,350,"119111",45,53,2,1,1,0,75000,31,8190,4,0
"232",2007,9360,"536031",40,20,8,2,6,0,9600,33,5090,3,1
"233",2007,5620,"435081",1,25,1,1,1,0,39000,32,6390,2,NA
"234",2007,4110,"353031",6,37,6,1,6,2,35000,42,8680,5,1
"235",2007,3060,"291060",36,55,1,2,1,0,377500,12,7970,7,NA
"236",2007,5700,"436010",36,24,1,2,1,0,9400,12,7780,1,NA
"237",2007,5620,"435081",18,60,1,2,1,0,8400,21,5380,2,NA
"238",2007,5620,"435081",6,55,1,1,1,2,52300,42,4970,3,NA
"239",2007,5700,"436010",4,31,1,2,6,0,30000,41,7290,2,NA
